metric	n	pearson_r	mae	pct_within_001	pct_exact
count	42380565	1.0	0.0	100.0	100.0
avg_mapping_quality	42380565	0.9999999998866522	2.068872843011554e-6	99.99900662013354	99.97931127156988
avg_basequality	42380565	0.9999999995823791	7.3517188834070614e-6	99.99242813303692	99.92648281116591
avg_se_mapping_quality	42380565	0.9999999999980024	4.766335701281109e-8	99.99998584256723	99.99952336642988
num_plus_strand	42380565	1.0	0.0	100.0	100.0
num_minus_strand	42380565	1.0	0.0	100.0	100.0
avg_pos_as_fraction	42380565	0.9999992971932831	6.705903991605594e-6	99.93557424258029	99.93294096008395
avg_num_mismatches_as_fraction	42380565	0.9999488834956345	7.386168636496461e-6	99.99419781213393	99.92613831363504
avg_sum_mismatch_qualities	42380565	0.9999999999571164	7.103727852613387e-6	99.97552415830228	99.92896272147387
num_q2_containing_reads	42380565	0.9588773424323106	63.3116374215398	45.89136317554993	45.89136317554993
avg_distance_to_q2_start_in_q2_reads	42380565	0.8402645426931935	0.06879157722413566	53.62334126503505	52.72160482051148
avg_clipped_length	42380565	0.9999999999710855	7.204481582535834e-6	99.96310573018552	99.92795518417464
avg_distance_to_effective_3p_end	42380565	0.9999973662288312	0.00002054172708646049	99.83335285879271	99.79493194581053
