sample_id	bed_lines	ref_lines	rs_lines	rs_bytes	rs_wall_s	rs_peak_rss_kb
s1422	134994	135776	134994	48894242	27.29	450748
s1423	335439	340842	335439	121615048	30.56	446604
s1424	215931	217408	215931	78309915	29.58	422652
s1425	164716	165875	164716	59627228	30.52	544296
s1426	187714	189133	187714	68056557	29.83	813388
s1427	211199	212825	211199	76628044	29.96	630568
s1428	267256	270115	267256	96938521	35.39	587260
s1429	218477	220203	218477	79126732	30.52	434208
s1430	93171	93584	93171	33689459	49.76	557500
s1431	211200	212757	211200	76600615	26.22	406836
s1432	186884	187959	186884	67729338	25.81	555804
s1433	189312	190676	189312	68598221	32.73	343920
s1434	195583	196892	195583	70842543	36.76	1013240
s1435	93785	94363	93785	33892858	21.12	380740
s1436	236757	238607	236757	85840964	32.17	1072728
s1437	149064	130915	149064	53955707	25.64	352236
s1438	208831	210564	208831	75697885	26.99	303888
s1439	204612	205993	204612	74238615	34.04	569580
s1440	135204	136068	135204	48836443	27.76	652144
s1441	348382	353417	348382	126350910	35.45	1129316
s1442	142269	143081	142269	51550880	28.55	778456
s1443	154765	155536	154765	56040227	26.83	374252
s1444	199822	201097	199822	72389171	26.34	434900
s1445	191600	192934	191600	69425000	29.11	408040
s1446	171083	172258	171083	61864806	27.28	687576
s1447	156280	157147	156280	56625122	28.2	466148
s1448	187098	188489	187098	67792415	25.16	743780
s1449	219746	221677	219746	79721181	29.85	441612
s1450	177193	178293	177193	64148529	37.19	958076
s1451	155244	156152	155244	56190085	29.81	439584
s1452	209732	211105	209732	76078766	31.06	733496
s1453	159655	160447	159655	57811918	56.05	439192
s1454	243163	245205	243163	88120694	27.25	601500
s1455	153697	154730	153697	55597893	24.02	421484
s1456	181978	177158	181978	65903453	29.21	851336
s1457	313877	316569	313877	113746250	31.01	973660
s1458	320523	323515	320523	116179854	30.91	789828
s1459	170245	171120	170245	61628901	25.92	472680
s1460	285944	288009	285944	103744506	36.1	820348
s1461	177486	178575	177486	64273945	28.31	768396
s1462	238559	240689	238559	86525005	59.47	685224
s1463	245406	247035	245406	88970019	36.55	990040
s1464	223274	224927	223274	80922598	29.04	331244
s1465	206038	207428	206038	74624625	27.03	322920
s1466	242466	244817	242466	87983570	59.53	537972
s1467	114901	115612	114901	41554047	27.48	698932
s1468	125252	126063	125252	45318538	21.87	445468
s1469	164039	165122	164039	59413087	21.8	222980
s1470	130255	130869	130255	47168315	27.77	652772
s1471	196387	197878	196387	71143585	27.07	306424
s1472	245351	247499	245351	88974048	33.03	866452
